Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/BestWeight02/58_d15.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;2.0;3260;
./model/BestWeight02/59_a19.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;2303;
./model/BestWeight02/5_b11.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;3162;
./model/BestWeight02/60_b18.ecore;16;2;10;18;13;1;2;8.8;5.0;19.0;0.39215687;45.0;3980;
./model/BestWeight02/61_c5.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;25362;
./model/BestWeight02/65_e0.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;14901;
./model/BestWeight02/66_a5.ecore;20;0;19;20;10;3;3;11.0;24.0;31.0;0.4;50.0;13760;
./model/BestWeight02/67_e15.ecore;41;37;78;78;40;13;3;42.4;625.0;754.0;0.93807715;183.0;32420;
./model/BestWeight02/68_b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;13202;
./model/BestWeight02/69_c18.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;14927;
./model/BestWeight02/6_a10.ecore;19;0;19;19;8;3;3;10.4;22.0;27.0;0.38636363;49.0;820;
./model/BestWeight02/70_e2.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;52987;
./model/BestWeight02/71_a7.ecore;12;0;17;12;9;3;2;8.6;20.0;25.0;0.36363637;30.0;14014;
./model/BestWeight02/72_e17.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;19601;
./model/BestWeight02/73_c3.ecore;17;2;10;19;10;1;1;8.2;2.0;18.0;0.17142858;48.0;34419;
./model/BestWeight02/74_d13.ecore;3;0;3;3;1;1;1;1.8;2.0;4.0;0.33333334;1.5;21764;
./model/BestWeight02/75_a0.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;9015;
./model/BestWeight02/76_e5.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;11952;
./model/BestWeight02/77_e10.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.93675673;188.0;4502;
./model/BestWeight02/78_c4.ecore;16;0;10;16;12;1;2;8.2;4.0;12.0;0.31707317;-41.0;915;
./model/BestWeight02/79_a18.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;11057;
./model/BestWeight02/7_a12.ecore;20;0;18;20;8;3;4;10.6;14.0;21.0;0.24324325;51.0;3877;
./model/BestWeight02/80_b19.ecore;16;2;11;18;14;1;1;9.0;5.0;20.0;0.3469388;45.0;44306;
./model/BestWeight02/81_d14.ecore;4;0;4;4;0;1;1;2.0;3.0;6.0;0.33333334;2.0;2658;
./model/BestWeight02/82_d16.ecore;4;0;4;4;1;1;1;2.2;3.0;4.0;0.44444445;2.0;12016;
./model/BestWeight02/83_c6.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;10075;
./model/BestWeight02/84_a2.ecore;15;0;20;15;9;3;3;10.0;25.0;30.0;0.44186047;40.0;1872;
./model/BestWeight02/85_e7.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;22388;
./model/BestWeight02/86_e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;17366;
./model/BestWeight02/87_e16.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;68782;
./model/BestWeight02/88_a6.ecore;10;0;14;10;1;3;3;6.2;17.0;20.0;0.42105263;24.0;15715;
./model/BestWeight02/89_e3.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.93532336;185.0;8396;
./model/BestWeight02/8_b13.ecore;17;2;11;19;14;1;2;9.4;5.0;19.0;0.3529412;48.0;1406;
./model/BestWeight02/90_d12.ecore;5;0;2;5;2;1;1;2.2;1.0;3.0;0.41666666;2.5;6314;
./model/BestWeight02/91_c2.ecore;45;0;32;45;41;3;4;25.0;42.0;49.0;0.69611305;114.0;38356;
./model/BestWeight02/92_c0.ecore;48;0;33;48;41;3;4;25.8;44.0;52.0;0.6993243;123.0;9215;
./model/BestWeight02/94_d10.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3529412;48.0;58152;
./model/BestWeight02/95_b9.ecore;15;0;9;15;8;1;1;6.8;4.0;14.0;0.3611111;41.0;54520;
./model/BestWeight02/96_c19.ecore;45;0;32;45;42;3;4;25.2;42.0;49.0;0.693662;29.113207;9550;
./model/BestWeight02/97_e14.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;30023;
./model/BestWeight02/98_a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;56710;
./model/BestWeight02/99_e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;27790;
