Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
d13.ecore;3;0;4;3;1;1;1;2.0;3.0;4.0;0.42857143;1.5;4816;
b19.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;50.0;7070;
e16.ecore;;;78;69;36;13;;;;;;;37631;
c3.ecore;17;2;10;19;8;1;1;7.8;2.0;18.0;0.18181819;48.0;12394;
b2.ecore;18;2;11;20;14;1;2;9.6;5.0;22.0;0.37037036;50.0;1244;
c10.ecore;48;0;32;48;41;3;4;25.6;44.0;51.0;0.6993243;123.0;1773;
e3.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.93532336;185.0;10199;
c16.ecore;48;0;33;48;39;3;4;25.4;44.0;52.0;0.6892857;123.0;1321;
b5.ecore;18;0;10;18;14;1;2;9.0;4.0;14.0;0.33333334;49.0;586;
d2.ecore;2;0;2;2;2;1;0;1.4;1.0;2.0;0.0;1.0;498;
d4.ecore;3;0;3;3;1;1;0;1.6;2.0;3.0;0.5;7.0;467;
c17.ecore;47;0;32;47;41;3;5;25.6;43.0;50.0;0.69550174;120.0;731;
d18.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;2.0;866;
b12.ecore;17;0;10;17;13;1;2;8.6;4.0;14.0;0.3478261;46.0;906;
a14.ecore;20;0;16;20;2;3;3;8.8;17.0;24.0;0.37142858;51.0;2754;
b0.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;406;
a6.ecore;10;0;14;10;1;3;3;6.2;17.0;20.0;0.42105263;24.0;13834;
e8.ecore;40;37;78;77;40;13;4;42.4;625.0;753.0;0.9371873;180.0;4396;
e17.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;6510;
e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;6344;
d14.ecore;3;0;4;3;0;1;1;1.8;3.0;5.0;0.25;1.5;2707;
a0.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;996;
b15.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;746;
c8.ecore;48;0;32;48;41;3;4;25.6;41.0;48.0;0.6866197;123.0;312;
a13.ecore;16;0;17;16;9;3;3;9.6;13.0;20.0;0.16666667;40.0;6028;
b11.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;993;
b7.ecore;15;0;9;15;14;1;2;8.2;3.0;11.0;0.29268292;41.0;1420;
c15.ecore;47;0;33;47;40;3;4;25.4;44.0;51.0;0.68705034;120.0;1118;
b6.ecore;18;0;10;18;13;1;2;8.8;4.0;14.0;0.34042552;49.0;1559;
d0.ecore;4;0;3;4;1;1;1;2.0;2.0;4.0;0.44444445;5.2783504;632;
