Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/ClosestDistance/51_d17.ecore;2;0;3;2;1;1;1;1.6;2.0;3.0;0.4;1.0;1221;
./model/ClosestDistance/52_e13.ecore;33;39;78;72;42;11;4;41.4;472.0;600.0;0.9269103;168.0;10856;
./model/ClosestDistance/53_e6.ecore;39;41;78;80;40;13;4;43.0;622.0;761.0;0.93702495;188.0;4316;
./model/ClosestDistance/54_a3.ecore;20;0;20;20;9;3;4;11.2;25.0;31.0;0.40816328;52.0;4119;
./model/ClosestDistance/55_e11.ecore;39;41;78;80;37;13;4;42.4;570.0;709.0;0.93192774;188.0;4450;
./model/ClosestDistance/56_e4.ecore;39;41;78;80;42;13;4;43.4;617.0;756.0;0.9352715;188.0;3200;
./model/ClosestDistance/57_a1.ecore;14;0;17;14;8;3;2;8.8;16.0;22.0;0.26666668;35.0;3499;
./model/ClosestDistance/58_d15.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;2.0;2010;
./model/ClosestDistance/59_a19.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;808;
./model/ClosestDistance/5_b11.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;993;
./model/ClosestDistance/60_b18.ecore;18;2;11;20;12;1;2;9.2;5.0;20.0;0.3846154;51.0;5196;
./model/ClosestDistance/61_c5.ecore;39;0;32;39;41;3;4;23.8;36.0;41.0;0.67611337;98.0;6120;
./model/ClosestDistance/65_e0.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;4030;
./model/ClosestDistance/66_a5.ecore;19;0;19;19;10;3;3;10.8;24.0;31.0;0.40816328;47.0;1503;
./model/ClosestDistance/67_e15.ecore;40;37;78;77;40;13;4;42.4;625.0;753.0;0.9371873;180.0;13171;
./model/ClosestDistance/68_b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;3792;
./model/ClosestDistance/69_c18.ecore;39;0;32;39;41;3;4;23.8;36.0;41.0;0.67611337;98.0;4352;
./model/ClosestDistance/6_a10.ecore;17;0;18;17;8;3;3;9.8;21.0;25.0;0.4047619;45.0;990;
./model/ClosestDistance/70_e2.ecore;;;78;72;36;13;;;;;;;14118;
./model/ClosestDistance/71_a7.ecore;13;0;17;13;9;3;2;8.8;20.0;26.0;0.37142858;32.0;4696;
./model/ClosestDistance/72_e17.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;6510;
./model/ClosestDistance/73_c3.ecore;17;2;10;19;8;1;1;7.8;2.0;18.0;0.18181819;48.0;12394;
