Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
a4.ecore;13;0;15;13;7;2;2;7.8;7.0;11.0;0.16666667;33.0;8284;
e6.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.9368932;188.0;4507;
a3.ecore;21;0;20;21;9;3;4;11.4;25.0;32.0;0.4;54.0;1111;
c19.ecore;46;0;32;46;42;3;4;25.4;42.0;49.0;0.6912281;30.150944;3078;
d11.ecore;;;;;;;;;;;;;;
e0.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;3847;
c2.ecore;46;0;32;46;41;3;4;25.2;42.0;49.0;0.693662;117.0;10628;
b4.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;280;
d5.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;1387;
b14.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;48.0;1094;
d12.ecore;5;0;2;5;2;1;1;2.2;1.0;3.0;0.41666666;2.5;3276;
c1.ecore;;;;;;;;;;;;;;
d9.ecore;;;;;;;;;;;;;;
e14.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;6831;
e11.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;5295;
e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;28666;
e13.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;13838;
c9.ecore;47;0;31;47;39;1;4;24.4;15.0;22.0;0.50857145;120.0;3642;
a15.ecore;13;0;14;13;8;2;3;8.0;9.0;13.0;0.27586207;35.0;3207;
c14.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;952;
a12.ecore;21;0;19;21;8;3;4;11.0;17.0;24.0;0.30952382;54.0;586;
b3.ecore;12;2;10;14;13;1;2;8.0;4.0;18.0;0.34146342;33.0;320;
