Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/bestWeight2/10_b7.ecore;16;0;9;16;14;1;2;8.4;3.0;12.0;0.2857143;43.0;2836;
./model/bestWeight2/18_d18.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;2.0;528;
./model/bestWeight2/20_a14.ecore;19;0;17;19;4;3;3;9.2;17.0;24.0;0.3611111;48.0;7577;
./model/bestWeight2/21_b15.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2728;
./model/bestWeight2/22_e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;4837;
./model/bestWeight2/24_b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2353;
./model/bestWeight2/25_d7.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;6.0833335;8016;
./model/bestWeight2/26_a13.ecore;14;0;17;14;9;3;3;9.2;13.0;18.0;0.17857143;36.0;15245;
./model/bestWeight2/28_b6.ecore;18;0;10;18;13;1;2;8.8;4.0;14.0;0.34042552;49.0;4224;
./model/bestWeight2/29_c16.ecore;48;0;33;48;40;3;4;25.6;44.0;52.0;0.6868327;123.0;3944;
./model/bestWeight2/30_c14.ecore;47;0;32;47;40;3;4;25.2;43.0;50.0;0.6979167;120.0;6432;
./model/bestWeight2/32_a9.ecore;11;0;15;11;9;2;3;8.0;10.0;16.0;0.42857143;27.0;10967;
./model/bestWeight2/35_a11.ecore;16;0;19;16;9;3;4;10.2;24.0;29.0;0.4318182;42.0;7407;
./model/bestWeight2/36_d5.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;1636;
./model/bestWeight2/37_a15.ecore;13;0;14;13;7;2;3;7.8;9.0;13.0;0.2857143;35.0;11911;
./model/bestWeight2/39_c9.ecore;47;0;31;47;38;1;4;24.2;15.0;22.0;0.5114943;120.0;9142;
./model/bestWeight2/3_b5.ecore;19;0;10;19;14;1;2;9.2;4.0;14.0;0.3265306;52.0;674;
./model/bestWeight2/40_d19.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;1686;
./model/bestWeight2/41_d1.ecore;3;0;3;3;2;1;1;2.0;2.0;3.0;0.375;1.5;5800;
./model/bestWeight2/44_e8.ecore;39;37;78;76;40;13;4;42.2;625.0;752.0;0.93770856;177.0;15327;
./model/bestWeight2/46_c12.ecore;47;0;32;47;42;3;4;25.6;41.0;48.0;0.68439716;120.0;12015;
./model/bestWeight2/48_b16.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;12976;
./model/bestWeight2/52_e13.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;16219;
./model/bestWeight2/54_a3.ecore;20;0;20;20;9;3;4;11.2;25.0;31.0;0.40816328;52.0;10755;
./model/bestWeight2/5_b11.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;1006;
./model/bestWeight2/60_b18.ecore;16;2;10;18;13;1;2;8.8;5.0;19.0;0.39215687;45.0;16357;
./model/bestWeight2/61_c5.ecore;39;0;32;39;41;3;4;23.8;36.0;41.0;0.67611337;98.0;18489;
./model/bestWeight2/67_e15.ecore;40;37;78;77;40;13;4;42.4;625.0;753.0;0.9371873;180.0;36350;
./model/bestWeight2/68_b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;11498;
./model/bestWeight2/69_c18.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;22445;
./model/bestWeight2/70_e2.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;58229;
./model/bestWeight2/71_a7.ecore;14;0;17;14;9;3;2;9.0;20.0;26.0;0.3783784;35.0;15875;
./model/bestWeight2/73_c3.ecore;17;2;10;19;8;1;1;7.8;2.0;18.0;0.18181819;48.0;44513;
./model/bestWeight2/74_d13.ecore;4;0;3;4;1;1;1;2.0;2.0;4.0;0.375;2.0;24506;
./model/bestWeight2/79_a18.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;2711;
./model/bestWeight2/7_a12.ecore;19;0;17;19;8;2;4;10.0;11.0;16.0;0.18181819;50.0;2293;
./model/bestWeight2/80_b19.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;48.0;20041;
./model/bestWeight2/86_e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;14197;
./model/bestWeight2/87_e16.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;82551;
./model/bestWeight2/88_a6.ecore;10;0;14;10;1;3;3;6.2;17.0;20.0;0.42105263;24.0;21365;
./model/bestWeight2/92_c0.ecore;48;0;33;48;41;3;4;25.8;44.0;52.0;0.6993243;123.0;12092;
./model/bestWeight2/94_d10.ecore;17;0;10;17;14;1;2;8.8;4.0;13.0;0.32608697;46.0;45835;
./model/bestWeight2/95_b9.ecore;15;0;9;15;8;1;1;6.8;4.0;14.0;0.3611111;41.0;61404;
./model/bestWeight2/98_a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;32780;
./model/bestWeight2/99_e1.ecore;37;41;78;78;38;13;4;42.2;625.0;764.0;0.93889797;184.0;26052;
