Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;32780;
e6.ecore;;;;;;;;;;;;;11613;
a3.ecore;20;0;20;20;9;3;4;11.2;25.0;31.0;0.40816328;52.0;10755;
c19.ecore;;;;;;;;;;;;;6060;
d11.ecore;;;;;;;;;;;;;;
e0.ecore;;;;;;;;;;;;;4797;
c2.ecore;;;;;;;;;;;;;15176;
b4.ecore;;;;;;;;;;;;;2291;
d5.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;1636;
b14.ecore;;;;;;;;;;;;;2626;
d12.ecore;;;;;;;;;;;;;5103;
c1.ecore;;;;;;;;;;;;;;
d9.ecore;;;;;;;;;;;;;;
e14.ecore;;;;;;;;;;;;;7623;
e11.ecore;;;;;;;;;;;;;11723;
e1.ecore;37;41;78;78;38;13;4;42.2;625.0;764.0;0.93889797;184.0;26052;
e13.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;16219;
c9.ecore;47;0;31;47;38;1;4;24.2;15.0;22.0;0.5114943;120.0;9142;
a15.ecore;13;0;14;13;7;2;3;7.8;9.0;13.0;0.2857143;35.0;11911;
c14.ecore;47;0;32;47;40;3;4;25.2;43.0;50.0;0.6979167;120.0;6432;
a12.ecore;19;0;17;19;8;2;4;10.0;11.0;16.0;0.18181819;50.0;2293;
b3.ecore;;;;;;;;;;;;;2013;
e18.ecore;;;;;;;;;;;;;1786;
a16.ecore;;;;;;;;;;;;;2040;
c11.ecore;;;;;;;;;;;;;;
d6.ecore;;;;;;;;;;;;;;
b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2353;
a2.ecore;;;;;;;;;;;;;1008;
e2.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;58229;
e10.ecore;;;;;;;;;;;;;18818;
