Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;45873;
e6.ecore;39;41;78;80;40;13;4;43.0;622.0;761.0;0.93702495;188.0;4218;
a3.ecore;21;0;20;21;9;3;4;11.4;25.0;32.0;0.4;54.0;6284;
c19.ecore;46;0;32;46;42;3;4;25.4;42.0;49.0;0.6912281;30.150944;21949;
d11.ecore;;;;;;;;;;;;;;
e0.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;7421;
c2.ecore;45;0;32;45;41;3;4;25.0;42.0;48.0;0.69611305;115.0;8106;
b4.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;878;
d5.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;5167;
b14.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;48.0;569;
d12.ecore;5;0;2;5;2;1;1;2.2;1.0;3.0;0.41666666;2.5;11211;
c1.ecore;;;;;;;;;;;;;;
d9.ecore;;;;;;;;;;;;;;
e14.ecore;38;41;79;79;42;13;4;43.4;629.0;768.0;0.93682504;186.0;6442;
e11.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;12836;
e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;25756;
e13.ecore;38;39;78;77;42;11;4;42.4;472.0;605.0;0.92527616;180.0;42100;
c9.ecore;46;0;31;46;39;1;4;24.2;15.0;22.0;0.5114943;117.0;5456;
a15.ecore;11;0;14;11;8;2;3;7.6;9.0;12.0;0.26923078;30.0;10024;
c14.ecore;47;0;32;47;40;3;4;25.2;43.0;50.0;0.6979167;120.0;5310;
a12.ecore;21;0;18;21;8;3;4;10.8;14.0;21.0;0.23684211;54.0;4036;
b3.ecore;12;2;10;14;13;1;2;8.0;4.0;18.0;0.34146342;33.0;1832;
e18.ecore;39;39;78;78;42;13;4;43.0;623.0;756.0;0.9369565;184.0;1753;
a16.ecore;8;0;15;8;7;3;2;7.0;16.0;19.0;0.3181818;21.0;2843;
c11.ecore;;;;;;;;;;;;;;
d6.ecore;;;;;;;;;;;;;;
b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;950;
a2.ecore;15;0;20;15;9;3;3;10.0;25.0;30.0;0.44186047;40.0;19604;
e2.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;65733;
e10.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.93675673;188.0;5102;
c6.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;4879;
b16.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;11714;
d1.ecore;3;0;3;3;2;1;1;2.0;2.0;3.0;0.375;1.5;6278;
c12.ecore;46;0;33;46;42;3;4;25.6;44.0;51.0;0.67164177;117.0;8515;
a18.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;17350;
d7.ecore;5;0;3;5;2;1;1;2.4;2.0;5.0;0.41666666;8.104167;6885;
b13.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;535;
e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;2757;
a8.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;601;
b17.ecore;16;2;10;18;14;1;2;9.0;5.0;19.0;0.3846154;45.0;1510;
a10.ecore;19;0;19;19;8;3;3;10.4;22.0;27.0;0.38636363;49.0;449;
c13.ecore;48;0;33;48;40;3;4;25.6;44.0;51.0;0.7016949;123.0;768;
d3.ecore;4;0;3;4;1;1;1;2.0;2.0;3.0;0.375;2.0;752;
c4.ecore;16;0;10;16;12;1;2;8.2;4.0;12.0;0.31707317;-41.0;1762;
d19.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;5674;
d16.ecore;4;0;3;4;1;1;1;2.0;2.0;3.0;0.44444445;2.0;23619;
e5.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;4947;
a17.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;15833;
a7.ecore;12;0;17;12;9;3;2;8.6;20.0;25.0;0.36363637;30.0;12411;
e7.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;4626;
a11.ecore;12;0;17;12;9;3;3;8.8;14.0;18.0;0.43243244;31.0;21801;
a9.ecore;13;0;15;13;9;2;3;8.4;10.0;16.0;0.42105263;32.0;8965;
b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;13887;
a1.ecore;15;0;17;15;8;3;2;9.0;16.0;22.0;0.2580645;38.0;12604;
c7.ecore;47;0;33;47;42;3;4;25.8;44.0;51.0;0.6993243;120.0;3936;
a19.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;5901;
a5.ecore;20;0;19;20;10;3;3;11.0;24.0;31.0;0.4;50.0;12315;
c0.ecore;48;0;33;48;41;3;4;25.8;44.0;52.0;0.6993243;123.0;13168;
b9.ecore;19;0;9;19;8;1;1;7.6;4.0;16.0;0.37209302;49.0;40335;
c5.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;15466;
e19.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;2698;
b10.ecore;17;0;10;17;14;1;2;8.8;4.0;13.0;0.34042552;46.0;825;
b18.ecore;18;2;11;20;13;1;2;9.4;5.0;20.0;0.3773585;51.0;2775;
d10.ecore;17;0;10;17;14;1;2;8.8;4.0;12.0;0.32608697;46.0;53405;
d15.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;2.0;11564;
d8.ecore;;;;;;;;;;;;;;
e15.ecore;41;37;78;78;40;13;3;42.4;625.0;754.0;0.93807715;183.0;28017;
d17.ecore;2;0;3;2;1;1;1;1.6;2.0;3.0;0.4;1.0;7125;
c18.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;19678;
e4.ecore;39;41;78;80;42;13;4;43.4;617.0;756.0;0.9352715;188.0;9089;
d13.ecore;3;0;3;3;1;1;1;1.8;2.0;3.0;0.42857143;1.5;14616;
b19.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;50.0;31119;
e16.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.9368932;188.0;93316;
c3.ecore;17;2;10;19;7;1;1;7.6;2.0;18.0;0.1875;48.0;31079;
b2.ecore;18;2;11;20;14;1;2;9.6;5.0;22.0;0.37037036;50.0;1037;
c10.ecore;47;0;32;47;41;3;4;25.4;44.0;51.0;0.7016949;121.0;8479;
e3.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.93532336;185.0;10093;
c16.ecore;48;0;33;48;40;3;4;25.6;44.0;52.0;0.6868327;123.0;2422;
b5.ecore;19;0;10;19;14;1;2;9.2;4.0;14.0;0.3265306;52.0;939;
d2.ecore;3;0;3;3;2;1;1;2.0;2.0;4.0;0.44444445;1.5;2161;
d4.ecore;4;0;3;4;1;1;1;2.0;2.0;3.0;0.44444445;10.0;265;
c17.ecore;48;0;32;48;41;3;4;25.6;43.0;50.0;0.69310343;123.0;2028;
d18.ecore;4;0;3;4;1;1;1;2.0;2.0;4.0;0.375;2.0;1825;
b12.ecore;17;0;10;17;13;1;2;8.6;4.0;14.0;0.3478261;46.0;983;
a14.ecore;22;0;16;22;2;3;3;9.2;17.0;25.0;0.35135135;56.0;3541;
b0.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;624;
a6.ecore;12;0;14;12;1;3;3;6.6;17.0;20.0;0.3809524;30.0;36520;
e8.ecore;41;37;78;78;40;13;3;42.4;625.0;754.0;0.93807715;183.0;13844;
e17.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;6755;
e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;25009;
d14.ecore;4;0;4;4;0;1;1;2.0;3.0;6.0;0.33333334;2.0;920;
a0.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;3090;
b15.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;726;
c8.ecore;48;0;32;48;41;3;4;25.6;41.0;48.0;0.6866197;123.0;1517;
a13.ecore;16;0;17;16;9;3;3;9.6;13.0;18.0;0.19354838;42.0;11886;
b11.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;1387;
b7.ecore;16;0;9;16;14;1;2;8.4;3.0;12.0;0.2857143;43.0;3705;
c15.ecore;48;0;33;48;40;3;4;25.6;44.0;52.0;0.6868327;123.0;897;
b6.ecore;16;0;10;16;13;1;2;8.4;4.0;14.0;0.35555556;43.0;10319;
d0.ecore;4;0;3;4;1;1;1;2.0;2.0;4.0;0.44444445;5.2783504;467;
