Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
Screens.ecore;6;2;13;8;16;1;1;7.8;1.6923077;9.692307;0.5555556;14.0;48817;421;44315;
diagramrt.ecore;;;;;;;;;;;;;-1;0;0;
taskmodel.ecore;45;0;26;45;38;3;2;22.8;2.3461537;16.346153;0.70567375;110.0;53554;4253;45821;
mulemodel.ecore;25;0;24;25;19;1;3;14.4;1.5416666;9.541667;0.41333333;62.0;47149;1170;45141;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;46428;522;45293;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;63600;14634;45169;
FacesConfig.ecore;294;0;123;294;183;1;2;120.6;1.1219512;14.121951;0.0862069;374.0;1387136;1328240;53316;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;82184;31431;46671;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;54634;791;49120;
aggregator_0.9.0.ecore;;;;;;;;;;;;;120660;66966;49454;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;9;0;4;9;10;0;1;4.8;1.0;3.0;0.0;4.5;47995;272;46384;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;47552;175;46144;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;52610;1119;46383;
FoundationModel.ecore;40;0;36;40;78;2;6;32.4;1.25;28.25;0.27160493;84.0;69676;15231;46701;
RandL.ecore;29;28;15;57;37;1;2;22.4;1.1333333;99.13333;0.11320755;139.0;61961;5811;47962;
IMS_Data_CLI.ecore;;;;;;;;;;;;;47444;212;46755;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;47895;157;47316;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;58476;6483;46922;
COOPNMetaModel.ecore;75;172;96;247;60;2;4;81.8;1.1979166;490.1979;0.16120219;221.66667;991915;709479;49890;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
parallelj.ecore;15;2;18;17;8;3;2;9.6;2.6666667;15.666667;0.72527474;36.0;47909;463;46949;
xwt09_updating.ecore;;;;;;;;;;;;;5677237;5557041;58731;
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;60341;537;51671;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;528644;470977;52449;
PF31.ecore;20;0;10;20;94;0;2;25.2;1.0;21.0;0.0;14.333333;67682;16518;48908;
mongodb.ecore;;;;;;;;;;;;;-1;0;0;
mediator.ecore;89;0;79;89;148;2;3;64.2;2.0253165;8.025316;0.15053764;198.0;588792;382187;49442;
lims.ecore;3;12;7;15;7;0;1;6.0;1.0;34.0;0.0;28.0;53762;320;47709;
sculptormetamodel.ecore;27;22;32;49;80;4;2;33.4;2.90625;80.90625;0.7088036;115.0;65712;16328;48557;
org.eclipse.wst.ws.internal.model.v10.registry.ecore;7;0;4;7;8;0;1;4.0;1.0;3.0;0.0;4.5;55049;241;48925;
com.ibm.commerce.payment.datatypes.ecore;117;0;41;117;28;1;2;37.8;1.4390244;3.4390244;0.0;157.0;70967;0;51351;
chess.ecore;0;6;3;6;6;0;0;3.0;1.0;17.0;0.0;0.6031746;52902;218;50287;
sequence_diagram.ecore;;;;;;;;;;;;;88759;483;49799;
BusinessDomainDsl.ecore;3;16;21;19;33;3;1;15.4;2.6666667;47.666668;0.6708861;43.0;95630;1522;51391;
OperA.ecore;104;0;62;104;32;4;6;41.6;2.1290324;79.129036;0.23163842;74.666664;120825;37239;49741;
XBNF.ecore;10;6;24;16;12;3;4;11.8;2.125;24.125;0.7083333;24.0;71025;635;49086;
PIM.ecore;;;;;;;;;;;;;-1;0;0;
rom.ecore;5;10;5;15;28;1;1;10.0;1.2;25.2;0.18867925;43.0;98595;5006;49476;
