Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;23686;493;21200;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;278243;247647;23504;
PF31.ecore;20;0;10;20;96;0;2;25.6;1.0;21.0;0.0;14.333333;46850;15977;20479;
mongodb.ecore;;;;;;;;;;;;;-1;0;0;
mediator.ecore;89;0;79;89;150;2;3;64.6;2.0253165;8.025316;0.14946619;198.0;454125;270726;21424;
lims.ecore;3;12;7;15;7;0;1;6.0;1.0;34.0;0.0;28.0;40146;334;21105;
sculptormetamodel.ecore;27;22;32;49;80;4;2;33.4;2.90625;80.90625;0.7088036;115.0;67149;15556;21620;
org.eclipse.wst.ws.internal.model.v10.registry.ecore;7;0;4;7;8;0;1;4.0;1.0;3.0;0.0;4.5;46247;245;21148;
com.ibm.commerce.payment.datatypes.ecore;117;0;41;117;28;1;2;37.8;1.4390244;3.4390244;0.0;157.0;72400;0;22614;
chess.ecore;0;6;3;6;6;0;0;3.0;1.0;17.0;0.0;0.6031746;46393;206;21239;
sequence_diagram.ecore;;;;;;;;;;;;;67179;480;21619;
BusinessDomainDsl.ecore;3;16;21;19;33;3;1;15.4;2.6666667;47.666668;0.6708861;43.0;61715;1474;21677;
OperA.ecore;104;0;62;104;32;4;6;41.6;2.1290324;79.129036;0.23163842;74.666664;86593;34373;22427;
XBNF.ecore;10;6;24;16;12;3;4;11.8;2.125;24.125;0.7083333;24.0;68595;661;22158;
PIM.ecore;;;;;;;;;;;;;-1;0;0;
rom.ecore;5;10;5;15;28;1;1;10.0;1.2;24.2;0.18867925;42.0;62314;5177;22466;
OPF31.ecore;18;0;18;18;89;1;1;25.4;1.1666666;19.166666;0.0;Infinity;109693;43374;22201;
Synthesis.ecore;;;;;;;;;;;;;-1;0;0;
frontend.core.ecore;49;2;60;51;31;6;3;30.2;2.8666666;18.866667;0.5920398;98.0;81234;8724;22443;
carnot.ecore;92;114;91;206;133;7;3;88.0;4.252747;354.25275;0.6898445;487.0;275386;0;27824;
org.eclipse.wst.ws.internal.model.v10.rtindex.ecore;9;0;4;9;5;0;1;3.8;1.0;3.0;0.0;5.5;60294;460;21906;
metaCompo.ecore;;;;;;;;;;;;;-1;0;0;
org.eclipse.component.ecore;13;0;7;13;14;0;1;7.0;1.0;3.0;0.0;12.0;71462;425;21960;
frontend.mappings.ecore;35;2;46;37;23;4;2;22.4;2.3695652;14.369565;0.11764706;81.0;53431;3752;22306;
