Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;41811;483;40255;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;434564;390139;42303;
PF31.ecore;20;0;10;20;95;0;2;25.4;1.0;21.0;0.0;14.333333;59317;15249;39843;
mongodb.ecore;;;;;;;;;;;;;-1;0;0;
mediator.ecore;89;0;79;89;149;2;3;64.4;2.0253165;8.025316;0.15;198.0;497664;308269;39917;
lims.ecore;3;12;7;15;7;0;1;6.0;1.0;34.0;0.0;28.0;45040;323;38959;
sculptormetamodel.ecore;27;22;32;49;80;4;2;33.4;2.90625;80.90625;0.7088036;115.0;57559;15989;39385;
org.eclipse.wst.ws.internal.model.v10.registry.ecore;7;0;4;7;8;0;1;4.0;1.0;3.0;0.0;4.5;43720;236;39059;
com.ibm.commerce.payment.datatypes.ecore;117;0;41;117;28;1;2;37.8;1.4390244;3.4390244;0.0;157.0;58359;0;40194;
chess.ecore;0;6;3;6;6;0;0;3.0;1.0;17.0;0.0;0.6031746;45761;199;39312;
sequence_diagram.ecore;;;;;;;;;;;;;46592;475;39767;
BusinessDomainDsl.ecore;3;16;21;19;33;3;1;15.4;2.6666667;47.666668;0.6708861;43.0;65934;1428;39529;
OperA.ecore;104;0;62;104;32;4;6;41.6;2.1290324;79.129036;0.23163842;74.666664;79251;34222;40465;
XBNF.ecore;10;6;24;16;12;3;4;11.8;2.125;24.125;0.7083333;24.0;55101;630;39794;
PIM.ecore;;;;;;;;;;;;;-1;0;0;
rom.ecore;5;10;5;15;28;1;1;10.0;1.2;25.2;0.18867925;43.0;51259;5002;39560;
OPF31.ecore;18;0;18;18;90;1;1;25.6;1.1666666;19.166666;0.0;Infinity;99391;42134;39606;
Synthesis.ecore;;;;;;;;;;;;;-1;0;0;
frontend.core.ecore;49;2;60;51;31;6;3;30.2;2.8666666;18.866667;0.5920398;98.0;57275;9557;40026;
carnot.ecore;92;114;91;206;133;7;3;88.0;4.252747;354.25275;0.6898445;487.0;262618;0;44970;
org.eclipse.wst.ws.internal.model.v10.rtindex.ecore;9;0;4;9;5;0;1;3.8;1.0;2.0;0.0;11.0;75967;449;39553;
metaCompo.ecore;;;;;;;;;;;;;-1;0;0;
