Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/BestWeight045/10_b7.ecore;15;2;10;17;14;1;2;8.8;4.0;18.0;0.34042552;44.0;3847;
./model/BestWeight045/18_d18.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;2.0;1543;
./model/BestWeight045/1_a8.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;532;
./model/BestWeight045/20_a14.ecore;17;0;16;17;2;3;3;8.2;17.0;23.0;0.40625;43.0;11188;
./model/BestWeight045/21_b15.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;3137;
./model/BestWeight045/22_e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;4568;
./model/BestWeight045/24_b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2348;
./model/BestWeight045/25_d7.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;6.0833335;7677;
./model/BestWeight045/26_a13.ecore;16;0;17;16;9;3;3;9.6;13.0;19.0;0.19354838;41.0;8829;
./model/BestWeight045/27_b12.ecore;18;0;10;18;13;1;2;8.8;4.0;14.0;0.34042552;49.0;2085;
./model/BestWeight045/28_b6.ecore;16;0;10;16;13;1;2;8.4;4.0;14.0;0.35555556;43.0;8614;
./model/BestWeight045/29_c16.ecore;47;0;33;47;40;3;4;25.4;44.0;51.0;0.68705034;120.0;5687;
./model/BestWeight045/2_c15.ecore;47;0;33;47;40;3;4;25.4;44.0;51.0;0.68705034;120.0;1134;
./model/BestWeight045/30_c14.ecore;48;0;32;48;40;3;4;25.4;43.0;50.0;0.69550174;123.0;3384;
./model/BestWeight045/32_a9.ecore;11;0;15;11;9;2;3;8.0;10.0;16.0;0.42857143;27.0;10965;
./model/BestWeight045/35_a11.ecore;16;0;19;16;9;3;4;10.2;24.0;29.0;0.4318182;42.0;14491;
./model/BestWeight045/36_d5.ecore;17;2;11;19;12;1;2;9.0;5.0;20.0;0.36734694;47.0;6216;
./model/BestWeight045/37_a15.ecore;13;0;14;13;8;2;3;8.0;9.0;13.0;0.27586207;35.0;6701;
./model/BestWeight045/39_c9.ecore;47;0;31;47;39;1;4;24.4;15.0;22.0;0.50857145;120.0;6727;
./model/BestWeight045/3_b5.ecore;19;0;10;19;14;1;2;9.2;4.0;14.0;0.3265306;52.0;3091;
./model/BestWeight045/40_d19.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;2015;
./model/BestWeight045/41_d1.ecore;3;0;3;3;2;1;1;2.0;2.0;3.0;0.375;1.5;6156;
./model/BestWeight045/42_c10.ecore;47;0;32;47;41;3;4;25.4;44.0;51.0;0.7016949;121.0;7534;
./model/BestWeight045/44_e8.ecore;39;37;78;76;40;13;4;42.2;625.0;752.0;0.93770856;177.0;14101;
./model/BestWeight045/46_c12.ecore;46;0;33;46;42;3;4;25.6;44.0;51.0;0.67164177;117.0;16965;
./model/BestWeight045/48_b16.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;11930;
./model/BestWeight045/49_a17.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;6792;
./model/BestWeight045/52_e13.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;19608;
./model/BestWeight045/54_a3.ecore;20;0;20;20;9;3;4;11.2;25.0;31.0;0.40816328;52.0;10428;
./model/BestWeight045/5_b11.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;1522;
./model/BestWeight045/60_b18.ecore;16;2;10;18;13;1;2;8.8;5.0;19.0;0.39215687;45.0;14423;
./model/BestWeight045/61_c5.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;15504;
./model/BestWeight045/67_e15.ecore;39;37;78;76;40;13;4;42.2;625.0;752.0;0.93770856;177.0;37932;
./model/BestWeight045/68_b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;9849;
./model/BestWeight045/69_c18.ecore;39;0;32;39;41;3;4;23.8;36.0;41.0;0.67611337;98.0;19017;
./model/BestWeight045/6_a10.ecore;19;0;19;19;8;3;3;10.4;22.0;27.0;0.38636363;49.0;575;
./model/BestWeight045/70_e2.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;52209;
./model/BestWeight045/71_a7.ecore;14;0;17;14;9;3;2;9.0;20.0;26.0;0.3783784;35.0;18667;
./model/BestWeight045/73_c3.ecore;17;2;10;19;8;1;1;7.8;2.0;18.0;0.18181819;48.0;40856;
./model/BestWeight045/74_d13.ecore;3;0;4;3;1;1;1;2.0;3.0;5.0;0.33333334;1.5;16016;
./model/BestWeight045/7_a12.ecore;20;0;18;20;8;3;4;10.6;14.0;21.0;0.24324325;51.0;4504;
./model/BestWeight045/80_b19.ecore;16;2;11;18;14;1;1;9.0;5.0;20.0;0.3469388;45.0;37360;
./model/BestWeight045/82_d16.ecore;5;0;3;5;1;1;1;2.2;2.0;4.0;0.4;13.0;14744;
./model/BestWeight045/83_c6.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;4239;
./model/BestWeight045/86_e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;17271;
