Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
a4.ecore;11;0;15;11;7;2;1;7.2;7.0;11.0;0.18181819;27.0;58247;
e6.ecore;;;;;;;;;;;;;4040;
a3.ecore;20;0;20;20;9;3;4;11.2;25.0;31.0;0.40816328;52.0;10428;
c19.ecore;;;;;;;;;;;;;6492;
d11.ecore;;;;;;;;;;;;;;
e0.ecore;;;;;;;;;;;;;4401;
c2.ecore;;;;;;;;;;;;;36490;
b4.ecore;;;;;;;;;;;;;2549;
d5.ecore;17;2;11;19;12;1;2;9.0;5.0;20.0;0.36734694;47.0;6216;
b14.ecore;;;;;;;;;;;;;2425;
d12.ecore;;;;;;;;;;;;;21811;
c1.ecore;;;;;;;;;;;;;;
d9.ecore;;;;;;;;;;;;;;
e14.ecore;;;;;;;;;;;;;11161;
e11.ecore;;;;;;;;;;;;;4741;
e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;30747;
e13.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;19608;
c9.ecore;47;0;31;47;39;1;4;24.4;15.0;22.0;0.50857145;120.0;6727;
a15.ecore;13;0;14;13;8;2;3;8.0;9.0;13.0;0.27586207;35.0;6701;
c14.ecore;48;0;32;48;40;3;4;25.4;43.0;50.0;0.69550174;123.0;3384;
a12.ecore;20;0;18;20;8;3;4;10.6;14.0;21.0;0.24324325;51.0;4504;
b3.ecore;;;;;;;;;;;;;1964;
e18.ecore;;;;;;;;;;;;;1758;
a16.ecore;;;;;;;;;;;;;3685;
c11.ecore;;;;;;;;;;;;;;
d6.ecore;;;;;;;;;;;;;;
b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;2348;
a2.ecore;;;;;;;;;;;;;16827;
e2.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;52209;
e10.ecore;;;;;;;;;;;;;21940;
c6.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;4239;
b16.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;11930;
d1.ecore;3;0;3;3;2;1;1;2.0;2.0;3.0;0.375;1.5;6156;
c12.ecore;46;0;33;46;42;3;4;25.6;44.0;51.0;0.67164177;117.0;16965;
a18.ecore;;;;;;;;;;;;;34573;
d7.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;6.0833335;7677;
b13.ecore;17;2;11;19;14;1;2;9.4;5.0;19.0;0.3529412;48.0;1362;
e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;4568;
a8.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;532;
b17.ecore;;;;;;;;;;;;;1909;
a10.ecore;19;0;19;19;8;3;3;10.4;22.0;27.0;0.38636363;49.0;575;
c13.ecore;;;;;;;;;;;;;2259;
d3.ecore;;;;;;;;;;;;;1103;
c4.ecore;;;;;;;;;;;;;16202;
d19.ecore;17;2;11;19;13;1;2;9.2;5.0;20.0;0.3846154;47.0;2015;
d16.ecore;5;0;3;5;1;1;1;2.2;2.0;4.0;0.4;13.0;14744;
e5.ecore;;;;;;;;;;;;;6068;
a17.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;6792;
a7.ecore;14;0;17;14;9;3;2;9.0;20.0;26.0;0.3783784;35.0;18667;
e7.ecore;;;;;;;;;;;;;11478;
a11.ecore;16;0;19;16;9;3;4;10.2;24.0;29.0;0.4318182;42.0;14491;
a9.ecore;11;0;15;11;9;2;3;8.0;10.0;16.0;0.42857143;27.0;10965;
b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;9849;
a1.ecore;;;;;;;;;;;;;1743;
c7.ecore;;;;;;;;;;;;;3964;
a19.ecore;;;;;;;;;;;;;694;
a5.ecore;;;;;;;;;;;;;1951;
c0.ecore;48;0;33;48;41;3;4;25.8;44.0;52.0;0.6993243;123.0;30688;
b9.ecore;19;0;9;19;8;1;1;7.6;4.0;16.0;0.37209302;49.0;51885;
c5.ecore;41;0;32;41;41;3;4;24.2;36.0;42.0;0.6706827;103.0;15504;
e19.ecore;;;;;;;;;;;;;4207;
b10.ecore;;;;;;;;;;;;;5090;
b18.ecore;16;2;10;18;13;1;2;8.8;5.0;19.0;0.39215687;45.0;14423;
d10.ecore;16;0;10;16;14;1;2;8.6;4.0;13.0;0.33333334;43.0;53018;
d15.ecore;;;;;;;;;;;;;11396;
d8.ecore;;;;;;;;;;;;;;
e15.ecore;39;37;78;76;40;13;4;42.2;625.0;752.0;0.93770856;177.0;37932;
d17.ecore;;;;;;;;;;;;;8307;
c18.ecore;39;0;32;39;41;3;4;23.8;36.0;41.0;0.67611337;98.0;19017;
e4.ecore;;;;;;;;;;;;;8710;
d13.ecore;3;0;4;3;1;1;1;2.0;3.0;5.0;0.33333334;1.5;16016;
b19.ecore;16;2;11;18;14;1;1;9.0;5.0;20.0;0.3469388;45.0;37360;
e16.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.9368932;188.0;29562;
c3.ecore;17;2;10;19;8;1;1;7.8;2.0;18.0;0.18181819;48.0;40856;
b2.ecore;;;;;;;;;;;;;1082;
c10.ecore;47;0;32;47;41;3;4;25.4;44.0;51.0;0.7016949;121.0;7534;
e3.ecore;;;;;;;;;;;;;26119;
c16.ecore;47;0;33;47;40;3;4;25.4;44.0;51.0;0.68705034;120.0;5687;
b5.ecore;19;0;10;19;14;1;2;9.2;4.0;14.0;0.3265306;52.0;3091;
d2.ecore;;;;;;;;;;;;;2415;
d4.ecore;;;;;;;;;;;;;525;
c17.ecore;;;;;;;;;;;;;1903;
d18.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;2.0;1543;
b12.ecore;18;0;10;18;13;1;2;8.8;4.0;14.0;0.34042552;49.0;2085;
a14.ecore;17;0;16;17;2;3;3;8.2;17.0;23.0;0.40625;43.0;11188;
b0.ecore;;;;;;;;;;;;;359;
a6.ecore;10;0;14;10;1;3;3;6.2;17.0;20.0;0.42105263;24.0;44051;
e8.ecore;39;37;78;76;40;13;4;42.2;625.0;752.0;0.93770856;177.0;14101;
e17.ecore;;;;;;;;;;;;;5682;
e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;17271;
d14.ecore;;;;;;;;;;;;;18345;
a0.ecore;;;;;;;;;;;;;1670;
